ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Meters
6386,2544 - 3790,2544,3790,72,6088.100528200298000
6387,2544 - 3377,2544,3377,73,6214.417975327627600
6388,2544 - 2574,2544,2574,74,6274.007022623375600
6389,2544 - 2572,2544,2572,75,6634.300816034076900
6390,2544 - 4058,2544,4058,76,6927.411799589539400
6391,2544 - 3791,2544,3791,77,8209.412276820721700
6392,3390 - 3390,3390,3390,1,0.000000000000000
6393,3390 - 3619,3390,3619,2,170.278603180201120
6394,3390 - 2565,3390,2565,3,262.362684816152640
6395,3390 - 2562,3390,2562,4,323.657749910975840
6396,3390 - 2496,3390,2496,5,340.066080280064850
6397,3390 - 2495,3390,2495,6,360.697606214419580
6398,3390 - 2494,3390,2494,7,484.501674718942700
6399,3390 - 1001,3390,1001,8,502.224085256967440
6400,3390 - 3294,3390,3294,9,514.230495316433350
6401,3390 - 2498,3390,2498,10,520.598825740913980
6402,3390 - 2539,3390,2539,11,524.379846842855270
6403,3390 - 4047,3390,4047,12,600.494019476895570
6404,3390 - 2497,3390,2497,13,675.872971832054870
6405,3390 - 3291,3390,3291,14,685.360369669844540
6406,3390 - 2571,3390,2571,15,686.539743689274020
6407,3390 - 3684,3390,3684,16,704.813048488908070
6408,3390 - 3455,3390,3455,17,784.329084165376570
6409,3390 - 2499,3390,2499,18,820.831413702175040
6410,3390 - 2561,3390,2561,19,824.423009863704690
6411,3390 - 4051,3390,4051,20,881.250050017186480
6412,3390 - 2537,3390,2537,21,958.859976854501610
6413,3390 - 3621,3390,3621,22,988.309554007635030
6414,3390 - 3660,3390,3660,23,1049.799981597670200
6415,3390 - 4060,3390,4060,24,1112.236822300164900
6416,3390 - 2563,3390,2563,25,1203.042802916654200
6417,3390 - 3513,3390,3513,26,1228.080037547198600
6418,3390 - 2552,3390,2552,27,1245.856771779698600
6419,3390 - 2501,3390,2501,28,1251.492282037331700
6420,3390 - 3685,3390,3685,29,1311.939808100787800
6421,3390 - 3635,3390,3635,30,1393.269413041797000
